supplier,supplierName,categories,products
DHS,Diversified Hospitality Solutions,"Amenities, Amenity Kits, Boxed Accessories, Dispensers, Guest Supplies, Neutral Soaps, Sachet Accessories, Slippers",26
ECOLAB,Ecolab,"Amenities, Housekeeping Chemicals",8
GRAINGER,Grainger / Maintenance Supplier,Maintenance,10
HD-SUPPLY,HD Supply / Guest Supply,"Guest Supplies, Paper Accessories, Room Supplies, Trash Bags",10
JANITORIAL,Janitorial Supplier,Housekeeping Tools,8
LAUNDRY-SUPPLIER,Laundry Supplier,Laundry,6
LINEN-SUPPLIER,Linen / Hotel Textile Supplier,"Housekeeping Tools, Linens, Maintenance",10
SYSCO,Sysco / Foodservice Supplier,Food & Beverage,6
